"","Year","Name.of.the.station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2010,"Balasore",62,66,67,64,70,75,79,81,81,75,71,62
"2",2010,"Chandabali",80,84,83,73,72,79,83,87,87,66,85,83
"3",2010,"Cuttack",83,84,82,79,77,80,83,88,90,90,89,89
"4",2010,"Paradeep",81,86,85,85,81,83,81,82,81,83,84,82
"5",2010,"Bhubaneswar",74,78,77,74,77,84,88,87,89,87,84,77
"6",2010,"Gopalpur",81,79,83,87,85,83,83,81,80,87,87,85
"7",2010,"Puri",74,82,85,86,84,84,82,81,82,83,80,73
"8",2010,"Angul",71,76,81,76,74,77,75,70,73,72,76,70
"9",2010,"Baripada",63,60,58,65,73,77,83,83,87,81,81,80
"10",2010,"Jharsuguda",61,54,41,33,48,64,83,86,81,74,74,73
"11",2010,"Keonjhar",66,64,58,51,61,73,85,87,88,87,80,72
"12",2010,"Sambalpur",79,72,61,48,55,62,83,86,88,85,88,87
"13",2010,"Sundargarh",82,69,48,35,59,64,86,84,82,81,84,88
"14",2010,"Hirakud",74,70,62,47,56,67,86,86,86,79,81,83
"15",2010,"Bhawanipatna",70,60,59,46,50,52,79,84,87,86,82,85
"16",2010,"Bolangir",65,61,70,63,66,65,70,69,70,68,65,68
"17",2010,"Koraput",80,79,78,72,64,81,93,92,92,92,90,92
"18",2010,"Phulbani",91,84,74,65,68,77,91,92,96,92,94,92
"19",2010,"Titlagarh",56,47,47,38,58,60,81,81,80,82,74,69
"20",2010,"Malkangiri",72,73,62,58,56,61,90,82,86,79,83,90
"21",2010,"Talcher",82,78,73,62,71,66,74,74,75,80,81,82
