Name of the Stations,Jan(Max),Jan(Min),Feb(Max),Feb(Min) ,Mar(Max),Mar(Min) ,Apr(Max),Apr(Min) ,May(Max),May(Min) ,Jun(Max),Jun(Min),Jul(Max),Jul(Min),Aug(Max),Aug(Min) ,Sep(Max),Sep(Min),Oct(Max),Oct(Min),Nov(Max),Nov(Min),Dec(Max),Dec(Min)
Balasore,29,13,34,17,34,21,35,25,35,25,34,26,33,26,31,25,33,25,33,24,31,19,29,15
Chandabali,28,13,34,17,36,20,38,24,37,24,36,25,33,24,31,23,33,24,33,22,30,18,29,13
Cuttack,30,13,36,16,36,20,37,23,36,23,35,23,33,23,31,22,33,22,34,20,31,16,30,16
Paradeep,30,17,31,21,33,24,33,27,34,27,33,27,32,27,30,26,32,27,34,25,31,22,29,19
Bhubaneswar,30,15,36,19,36,23,37,26,36,26,35,26,33,26,31,25,33,26,33,24,31,20,31,17
Gopalpur,29,17,31,19,31,23,31,26,33,27,32,27,32,27,30,26,32,26,34,24,30,21,29,18
Puri,28,17,30,22,31,25,32,27,33,26,32,27,32,27,30,26,32,27,33,26,30,22,29,19
Angul,29,14,36,16,36,21,39,27,38,27,36,23,34,22,31,20,33,22,33,20,31,18,30,17
Baripada,26,12,34,18,35,21,38,25,37,25,34,25,32,25,30,25,31,24,32,22,28,18,27,13
Jharsuguda,29,12,34,15,34,20,39,24,39,26,37,27,31,25,31,25,32,25,33,22,31,18,29,14
Keonjhar,28,12,33,16,33,19,37,22,35,23,33,24,30,23,29,22,30,22,31,19,28,16,27,12
Sambalpur,29,11,33,13,33,18,37,22,39,25,36,25,31,24,30,22,32,23,33,20,30,16,29,12
Sundargarh,31,8,37,12,36,17,40,21,40,24,37,24,32,23,31,22,34,22,35,18,32,15,31,10
JHirakud,NA,NA,NA,NA,NA,NA,NA,NA,39,27,37,27,31,25,30,25,32,25,33,22,30,20,28,14
Bhawanipatna,29,9,33,10,32,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolangir,30,12,34,15,34,20,39,24,40,25,36,24,31,23,30,22,33,23,33,21,30,18,30,14
Koraput,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phulbani,28,8,33,11,34,16,38,21,33,24,34,24,29,23,28,23,30,22,31,19,28,15,28,10
Titlagarh,28,15,34,19,35,18,39,19,41,19,38,18,31,14,30,12,33,17,34,19,30,14,30,11
Malkangiri,33,17,32,17,36,20,39,25,37,26,35,26,31,25,29,24,32,24,33,23,31,20,31,16
